template	番薯
有空	得閒
服務器	伺服器
木瓜	萬壽果
杯珓	杯
東西	嘢
柏林牆	柏林圍牆
柚子	碌柚
桌子	檯
梯子	梯
樹袋熊	樹熊
橡皮擦	擦紙膠	擦膠	膠擦
橡皮筋	橡筋
橡膠	樹膠	膠
檯式機	桌上電腦
檯球	桌球	檯波
正在	喺度	喺處	緊
正常物品	正常財
母牛	牛乸
母雞	雞乸
氣味	味	𡃴
水果	生果
水泥	紅毛泥
汽水	荷蘭水
汽油	電油
汽車	車
沒有	冇
沙發	梳化	梳化椅
油條	油炸鬼
泰坦尼克	鐵達尼號
洗澡	沖涼	洗身
洗臉	洗面
浪費	嘥
淡米爾	泰米爾
淡米爾語	泰米爾語
港幣	港紙
渴	口渴	頸渴
游泳	游水
漂亮	好睇	靚
激光	鐳射	雷射
濕乎乎	濕坺坺	濕淰淰	濕溚溚	濕趿趿	濕𣲷𣲷
灶神	灶君	灶君老爺
為什麼	乜	何解	做乜	做乜事幹	做乜嘢	做咩	因乜事幹	因乜緣故	因乜解究	為乜	為咩	點解
烏龍麵	烏冬
照片	相
照相	影相
熨斗	燙斗
燙髮	電髮
父母	爹哋媽咪	老豆老母
爸爸	爹哋	阿爸
爸爸-2	爸爸	爹哋	老豆	阿爸
牙齒	牙
牙齦	牙床	牙肉
牡蠣	蠔
特立尼達和多巴哥	千里達及多巴哥
牽牛花	喇叭花
猴子	馬騮
獼猴桃	奇偉果	奇異果
玉米	粟米
現在	家下	家陣	而家
球鞋	波鞋	運動鞋
瓶	樽
瓶子	樽
番茄醬	茄汁
番荔枝	番鬼荔枝
癢	痕
發燒	身㷫	身熱
發酵乳	乳酪
發霉	發毛
白天	日頭
百香果	熱情果
的	嘅
皮划艇	輕艇
相思樹	臺灣相思
相機	影相機
眉毛	眼眉	眼眉毛
看	望	睇
眼淚	眼水
眼珠	眼核
眼睛	眼
眼鏡蛇	飯鏟頭
睡覺	瞓	瞓覺
睪丸	春	春子	波子
睫毛	眼挹毛	眼睫毛
知道	知
短信	短訊
石榴	結子石榴
硅	矽
硅谷	矽谷
硅酸	矽酸
硅酸鹽	矽酸鹽
硅酸鹽水泥	矽酸鹽水泥
磁石	攝石
祖母	嫲嫲	阿嫲
祖父	爺爺	阿爺
神經網路	神經網絡
私房錢	私己	私己錢
私生子	野仔
稠	杰
稻子	禾
稻穀	穀
積體電路	集成電路
空心菜	蕹菜	通菜
空間科學	太空科學
突然	一下	忽然間	無啦啦	突然間
站	徛
童養媳	新婦仔
端午節	端午
竹字頭	竹花頭
竹輪	獅子狗
算盤珠	算珠
簡訊	短訊
粒線體	線粒體
粽子	粽
精液	精
精神分裂症	思覺失調症
糖果	糖
紅包	利市
紐卡斯爾	紐卡素
紐澤西	新澤西
紙幣	銀紙
素質	質素
累	攰
結賬	埋單	睇數
給	畀
網咖	網吧
網絡硬盤	網絡硬碟
網路	網絡
網際網路	網際網絡
繩子	索	繩
繼母	後底乸	後母
繼父	後父
義大利	意大利
老師	先生	搣匙	阿Sir
老闆	事頭	波士	老細
老闆娘	事頭婆
老鷹	麻鷹
耳垂	耳珠
耳垢	耳屎
耳朵	耳	耳仔
聖誕節	老番冬	聖誕
聰明	叻	醒	醒目
聲音	聲
聽說	聽聞	聽聞話	聽講
肖邦	蕭邦
肚子	肚
肚臍	肚臍窿
肛門	噼噼窿	屎眼	屎窟窿
肥皂	番鹼	鹼
肩膀	膊頭
背	背脊
背負	孭
胖	肥
胖乎乎	肥嘟嘟
胡蘿蔔	紅蘿蔔
胳肢窩	胳肋底
胳膊肘	手踭
胸罩	胸圍
脖子	頸
腹瀉	屙啡啡	屙肚	肚屙
膝蓋	膝頭	膝頭哥
臉	面
臥室	睡房
自來水	水喉水
自由泳	自由式
自行車	單車
舅母	妗母
舌頭	脷
艾滋病	愛滋病
芝麻油	麻油
芝麻球	煎堆
芫荽	芫茜
花朵	花
花蕾	花冧
苦瓜	涼瓜	菩薘
茄子	矮瓜	茄瓜
草字頭	草花頭
草莓	士多啤梨
荸薺	馬蹄
莙薘菜	豬乸菜
莫洛尼	莫羅尼
菜	餸	餸菜
菠蘿蜜	大樹菠蘿
落枕	瞓捩頸
落葵	潺菜
葉子	葉
著涼	冷嚫	凍嚫
葡萄	提子	葡提子
蒼蠅	烏蠅
薛丁格的貓	薛定諤的貓
薤	藠頭
薯蕷	淮山
虹	天虹	彩虹
蚊子	蚊
蚯蚓	黃䘆
蛙泳	蛙式
蜂蜜	蜜糖
蜈蚣	百足
蜘蛛	蠄蟧
蜻蜓	塘尾
蝙蝠	蝠鼠	飛鼠
螃蟹	蟹
螞蟻	蟻
螳螂	馬螂狂
螺絲刀	螺絲批
螻蛄	土狗
蟑螂	小強	曱甴
蟬	沙蟬
蟾蜍	蠄蟝
衣服	衫	衫褲
被	畀
裡邊	入便	入面	裡便	裡面	裡頭
複印機	影印機
襪子	襪
襯衫	恤衫
要	想
角	毫	毫子
計算器	計數機
計算機科學	電腦科學
討厭	憎
認識	識	識得
說	話	講
說謊	講大話
誰	乜誰	邊個
謊言	大話
謝謝	唔該	多謝
警察	差人	差佬	阿Sir
豆漿	豆奶
豆腐乳	腐乳
豆腐腦	豆腐花
豆芽	芽菜
豆薯	沙葛
豌豆	青豆
豬油	豬膏
賽普勒斯	塞浦路斯
走之底	撐艇仔	艇仔邊
起床	起身
趕緊	啦啦聲	嗱嗱臨	快啲	快脆	擒擒青
跳蚤	狗蝨
蹲	踎
農曆	舊曆
這	依	呢
這樣	噉	噉樣
這裡	呢度	呢處
這麼	咁
選	揀
避孕套	套	安全套
還	重
還是	定	定係
那	嗰
那些	嗰啲
那裡	嗰度	嗰處
郵票	士擔
