驅	驱
剎	刹
剛	刚
剝	剥
愛	爱
創	创
劃	划	画
劄	劄	札
劇	剧
斬	斩
劉	刘
荊	荆
錫	锡
俠	侠
鶴	鹤
侖	仑
幣	币
種	种
奮	奋
鬥	斗
効	效
勁	劲
悶	闷
懼	惧
須	须
勛	勋
敗	败
擋	挡
範	范
圍	围
獎	奖
勵	励
勸	劝
諭	谕
粧	粧	妆
驗	验
鴟	鸱
鴨	鸭
奧	奥
萊	莱
納	纳
謬	谬
么	幺	么
壺	壶
蓋	盖
漢	汉
藝	艺
臘	腊
鋤	锄
鎬	镐
嬌	娇
鵝	鹅
錘	锤
煉	炼
冪	幂
両	两	両
鹹	咸	鹹
悅	悦
聳	耸
聽	听
責	责
疊	叠
襪	袜
訴	诉
厠	厕
偽	伪
飲	饮
參	参	叁
閲	阅	閲
靚	靓
腸	肠
誼	谊
覆	复	覆
縮	缩
財	财
災	灾
溝	沟
軟	软
罰	罚
叢	丛
啞	哑
擘	掰	擘
腫	肿
興	兴
爐	炉
擾	扰
謝	谢
喚	唤
罵	骂
囑	嘱
惱	恼
吒	咤	吒
跡	迹
裡	里
適	适	適
顯	显
邏	逻
輯	辑
銷	销
圓	圆
專	专
臨	临
撚	捻	撚
噴	喷
飴	饴
吳	吴
彥	彦
吶	呐
脹	胀
膠	胶	膠
漲	涨
皺	皱
呂	吕
鈍	钝
辭	辞
絨	绒
駁	驳
蜆	蚬
呵	呵	啊
搶	抢
籲	吁
隨	随
藹	蔼
諧	谐
醬	酱
錶	表
豐	丰
嚐	尝
哅	讻
喲	哟
擺	摆
寧	宁
詠	咏
該	该
阿	阿	啊
擬	拟
擇	择
蕎	荞
夠	够	夠
攝	摄
憂	忧
寫	写
製	制
論	论
顧	顾
涼	凉	涼
辯	辩
騎	骑
唸	念	唸
尋	寻
紐	纽
嘸	呒
嚨	咙
椗	碇
欖	榄
鉗	钳
貢	贡
慶	庆	慶
喪	丧
喫	吃
獨	独
簷	檐
徑	径
軌	轨
嘆	叹
閉	闭
曬	晒
嘍	喽
嘔	呕
嘖	啧
嘗	尝
撻	挞
壞	坏
噓	嘘
嘮	唠
